date,hmm_state,hmm_regime,xgb_regime,blended_regime_score,blended_regime,hmm_prob_state_0,hmm_prob_state_1,hmm_prob_state_2
2025-06-10,1,Bear,Bear,0.22115804255008698,Bear,0.0,1.0,0.0
2025-06-11,0,Bull,Bull,0.48624780774116516,Sideways,1.0,9.34459380102759e-71,7.198205852104926e-85
2025-06-12,1,Bear,Bear,0.09809236973524094,Bear,4.593741732574926e-80,1.0,1.0254072526522353e-82
2025-06-13,0,Bull,Bull,0.33252713084220886,Sideways,0.9999999816300262,1.8370002994825515e-08,5.492459342389168e-81
2025-06-14,1,Bear,Bear,0.10453933477401733,Bear,1.970910471250392e-25,1.0,2.6243371491706914e-73
2025-06-15,1,Bear,Bear,0.08046461641788483,Bear,9.32713796299567e-09,0.9999999906726771,3.0106626699380107e-80
2025-06-16,0,Bull,Bear,0.24725747108459473,Bear,0.8920857099089583,0.1079142900908402,3.512343056987913e-81
2025-06-17,1,Bear,Bear,0.0937928631901741,Bear,2.950464506604432e-14,1.0,7.508783874013848e-52
2025-06-18,2,Sideways,Sideways,0.461616469360888,Sideways,1.2643639008316566e-75,6.649912706317238e-23,1.0
2025-06-19,2,Sideways,Sideways,0.46371560338884593,Sideways,5.340005384345217e-61,2.7759733918349194e-31,1.0
2025-06-20,2,Sideways,Sideways,0.45508417980745436,Sideways,2.083798854322926e-69,1.8856052809373067e-45,1.0
2025-06-21,2,Sideways,Sideways,0.45395881524309517,Sideways,2.965012952751744e-48,1.2071110677524137e-17,1.0
2025-06-22,2,Sideways,Sideways,0.4546830395619509,Sideways,2.2814378847886826e-39,1.2196790142403107e-10,0.9999999998781277
2025-06-23,1,Bear,Bear,0.05480659008028442,Bear,5.830157568501316e-46,1.0,5.15391737515525e-14
2025-06-24,0,Bull,Bull,0.46418043971061707,Sideways,1.0,2.5947453735533023e-16,6.332483207160738e-20
2025-06-25,1,Bear,Bear,0.09929671139089909,Bear,2.9793004659741785e-28,0.9999999999872671,1.2553328200070944e-11
2025-06-26,0,Bull,Bull,0.3043756486572324,Bear,0.9991210594348259,0.000878940212357902,3.5266055445574565e-10
2025-06-27,1,Bear,Bear,0.1575609767508079,Bear,5.919099303355625e-10,0.9999998285257026,1.708824478673363e-07
2025-06-28,2,Sideways,Sideways,0.45913890841014465,Sideways,1.1948743243640907e-11,0.0004211209065209106,0.9995788790817013
2025-06-29,2,Sideways,Sideways,0.4585559915751219,Sideways,4.448225020351806e-32,1.655685158932379e-29,1.0
2025-06-30,2,Sideways,Sideways,0.45597303127869965,Sideways,6.109762521482893e-22,9.387397936684651e-26,1.0
2025-07-01,2,Sideways,Sideways,0.4552249603904784,Sideways,2.0252731503707916e-53,4.387185925138541e-52,1.0
2025-07-02,2,Sideways,Sideways,0.4534725263249129,Sideways,5.449843392707516e-52,3.4982460895076035e-42,1.0
2025-07-03,2,Sideways,Sideways,0.4582353437319398,Sideways,2.950151815549517e-25,1.7486788978399652e-19,1.0
2025-07-04,2,Sideways,Sideways,0.46371751818805934,Sideways,2.6011390405262006e-22,1.659287607637834e-21,1.0
2025-07-05,2,Sideways,Sideways,0.45637047551572324,Sideways,1.0855167201573665e-28,4.1691192421735754e-32,1.0
2025-07-06,2,Sideways,Sideways,0.45608611619099976,Sideways,6.364640688122192e-19,1.754259831019489e-31,1.0
2025-07-07,2,Sideways,Sideways,0.45533324386924506,Sideways,2.8646964658523305e-23,3.759462502558775e-26,1.0
2025-07-08,2,Sideways,Sideways,0.4568062865175307,Sideways,1.6725699804153127e-42,3.756630591817575e-27,1.0
2025-07-09,2,Sideways,Sideways,0.45979874189943076,Sideways,1.512702914505162e-35,2.453480807252429e-28,1.0
2025-07-10,2,Sideways,Sideways,0.4712822239811203,Sideways,2.6612524980035567e-39,7.50879960275211e-12,0.9999999999922693
2025-07-11,0,Bull,Bull,0.4179202020170418,Sideways,0.9999999999995453,5.697932386853754e-16,4.696596634790236e-13
2025-07-12,1,Bear,Bear,0.07422810792968347,Bear,6.951279540890588e-20,0.9999999999990905,1.0082976317809079e-12
2025-07-13,0,Bull,Bull,0.3175013694459403,Bear,0.9999408990978071,5.9093552097075785e-05,7.349960093614671e-09
2025-07-14,1,Bear,Bear,0.17309452754210575,Bear,3.3255429311420454e-14,0.9999999964247763,3.575200129774118e-09
2025-07-15,0,Bull,Bull,0.3688655793666852,Sideways,0.9995463441668687,0.0004536558333315079,2.7001193835554323e-15
2025-07-16,1,Bear,Bear,0.14772731065750122,Bear,3.842553073312808e-39,1.0,6.803167949173556e-24
2025-07-17,0,Bull,Bull,0.41340336203575134,Sideways,0.9999999998431122,1.5694108832080273e-10,8.089767609039295e-42
2025-07-18,1,Bear,Bear,0.20527289807796478,Bear,3.387356902677905e-70,1.0,1.2649782951046968e-33
2025-07-19,0,Bull,Bull,0.4254286289215088,Sideways,1.0,3.1572134660199457e-32,2.5033282420179643e-67
2025-07-20,1,Bear,Bear,0.1566394865512848,Bear,2.6197750322327895e-44,1.0,2.9801020577461023e-47
2025-07-21,0,Bull,Bull,0.4203904867172241,Sideways,0.9999999985461727,1.4538000130308817e-09,2.3554338740554785e-77
2025-07-22,1,Bear,Bear,0.12731514871120453,Bear,8.971371762642316e-21,1.0,2.346576575899974e-68
2025-07-23,0,Bull,Bull,0.4339686632156372,Sideways,0.9999999999972715,2.7302563781031936e-12,2.0581150491713056e-48
2025-07-24,1,Bear,Bear,0.09844285994768143,Bear,3.02580041695597e-53,1.0,2.0230479867306236e-32
2025-07-25,0,Bull,Bull,0.2610321640968337,Bear,0.999999997719442,2.28063435153743e-09,3.203349014952042e-15
2025-07-26,1,Bear,Bear,0.05460983205445982,Bear,1.2324872399174852e-30,0.9994923325907141,0.0005076674092340805
2025-07-27,2,Sideways,Sideways,0.45554370786974235,Sideways,2.6380498147832456e-13,3.015971526284085e-15,0.9999999999995453
2025-07-28,2,Sideways,Sideways,0.4578115467913449,Sideways,6.608130699972787e-33,4.8140664609321764e-33,1.0
2025-07-29,2,Sideways,Sideways,0.4529745474457741,Sideways,2.104216878174563e-40,2.6824362802010783e-25,1.0
2025-07-30,2,Sideways,Sideways,0.45277348095551134,Sideways,2.958497062173543e-32,1.0689384300526468e-32,1.0
2025-07-31,2,Sideways,Sideways,0.4533966440241784,Sideways,7.210340348121773e-31,2.4769054700986024e-31,1.0
2025-08-01,2,Sideways,Sideways,0.4533105604816228,Sideways,2.1291765587480577e-34,1.2187555357169889e-26,1.0
2025-08-02,2,Sideways,Sideways,0.4523131046909839,Sideways,1.35608779133871e-37,1.4564275202052576e-39,1.0
2025-08-03,2,Sideways,Sideways,0.4529737465083599,Sideways,7.938168692456481e-47,1.2782039603930578e-49,1.0
2025-08-04,2,Sideways,Sideways,0.4523283874616027,Sideways,3.366327826092904e-27,2.282655582992264e-38,1.0
2025-08-05,2,Sideways,Sideways,0.45425630994141103,Sideways,7.747103524625859e-39,8.350625670995345e-50,1.0
2025-08-06,2,Sideways,Sideways,0.452949996618554,Sideways,3.3372731936780404e-35,6.595079284973076e-36,1.0
2025-08-07,2,Sideways,Sideways,0.455216590128839,Sideways,4.623279564447578e-42,2.3397976841417983e-36,1.0
2025-08-08,2,Sideways,Sideways,0.4682024743407965,Sideways,2.155148475200187e-21,7.10272565621214e-20,1.0
